213412, 4916288217067475, 123412, 250.60, Shampo
184535, 4916288217067475, 532123, 100.50, Manaos 1Lt
123956, 4916288217067475, 123412, 50.12, Leche
783619, 4916288217067475, 543256, 70.54, Yogurt
938179, 4916288217067475, 123412, 200.18, Cerveza
891234, 4916288217067475, 123434, 220.90, Doritos
213412, 4916288217067475, 123412, 250.60, Shampo
213412, 4916288217067475, 123412, 250.60, Shampo
184535, 4916288217067475, 532123, 100.50, Manaos 1Lt
213412, 4916288217067475, 123412, 250.60, Shampo
184535, 4916288217067475, 532123, 100.50, Manaos 1Lt
123956, 4916288217067475, 123412, 50.12, Leche
783619, 4916288217067475, 543256, 70.54, Yogurt
938179, 4916288217067475, 123412, 200.18, Cerveza
891234, 4916288217067475, 123434, 220.90, Doritos
783619, 4916288217067475, 543256, 70.54, Yogurt
938179, 4916288217067475, 123412, 200.18, Cerveza
891234, 4916288217067475, 123434, 220.90, Doritos
213412, 4916288217067475, 123412, 250.60, Shampo
184535, 4916288217067475, 532123, 100.50, Manaos 1Lt
123956, 4916288217067475, 123412, 50.12, Leche
783619, 4916288217067475, 543256, 70.54, Yogurt
938179, 4916288217067475, 123412, 200.18, Cerveza
891234, 4916288217067475, 123434, 220.90, Doritos
184535, 4916288217067475, 532123, 100.50, Manaos 1Lt
123956, 4916288217067475, 123412, 50.12, Leche
783619, 4916288217067475, 543256, 70.54, Yogurt
938179, 4916288217067475, 123412, 200.18, Cerveza
891234, 4916288217067475, 123434, 220.90, Doritos
